"","CASEID","Being happy when working hard","Cannot wait to leave work at the end of the day","Extra effort to get the job done without reward","Take pride in own work","Being happiest if never had to work again in life","Working drains energy from more important things","Best reward from working - Sense of accomplishment","Admiration for those who work hard","Income - Personal income group (before tax)"
"2717",5282,8,4,6,6,0,0,7,9,2
"2718",5283,7,8,10,10,2,5,10,10,2
"2719",5284,10,0,10,10,0,0,10,10,4
"2720",5285,7,5,8,8,3,4,8,7,2
"2721",5287,7,4,7,10,2,4,5,8,3
"2722",5288,10,8,8,10,10,5,10,10,2
"2723",5289,4,10,6,2,7,8,0,10,1
"2724",5291,6,6,0,10,5,8,7,8,2
"2725",5292,8,5,8,9,2,5,8,9,2
"2726",5295,8,4,6,10,4,2,5,8,1
"2727",5297,9,5,9,9,5,5,7,9,4
"2728",5298,7,10,10,10,10,9,10,10,2
"2729",5301,8,4,8,10,8,3,8,8,4
"2730",5302,8,3,3,10,4,4,10,10,5
"2731",5303,10,0,8,10,8,9,10,10,2
"2732",5304,10,2,8,10,2,1,10,10,2
"2733",5307,10,0,10,10,2,2,10,10,3
"2734",5309,8,8,7,7,0,4,7,8,6
"2735",5312,10,0,10,10,0,0,10,10,5
"2736",5314,8,2,8,10,10,4,10,10,2
"2737",5318,8,0,8,9,0,9,7,8,1
"2738",5319,10,0,9,10,0,3,10,10,3
"2739",5320,6,6,8,8,6,2,6,8,2
"2740",5321,8,4,8,10,5,3,7,7,1
"2741",5322,9,10,10,10,7,8,10,10,2
"2742",5324,7,0,10,10,3,0,10,10,3
"2743",5325,8,6,8,9,7,7,7,5,3
"2744",5328,7,3,10,10,3,4,10,10,4
"2745",5329,8,4,8,10,0,1,10,10,3
"2746",5330,8,3,9,10,7,2,10,10,2
"2747",5335,10,0,10,10,0,0,10,10,6
"2748",5337,9,10,2,2,10,10,2,10,2
"2749",5341,10,8,10,10,7,0,10,10,1
"2750",5342,5,10,5,10,5,5,8,5,2
"2751",5343,10,2,10,10,0,0,10,10,5
"2752",5344,8,5,7,9,7,7,8,8,4
"2753",5348,5,4,10,7,10,10,10,10,3
"2754",5350,8,6,9,9,8,4,9,9,3
"2755",5358,10,6,9,10,5,3,10,10,3
"2756",5360,7,4,7,10,4,4,8,10,2
"2757",5361,7,3,7,8,5,8,3,10,2
"2758",5362,10,10,10,10,10,7,10,10,4
"2759",5365,9,2,8,8,2,6,6,9,3
"2760",5367,8,10,7,10,10,10,9,10,6
"2761",5368,6,9,5,6,0,0,10,6,2
"2762",5370,7,5,7,8,3,6,7,8,2
"2763",5372,8,1,10,10,5,7,6,10,6
"2764",5374,10,5,10,10,2,5,10,10,3
"2765",5376,8,10,7,8,10,10,5,5,3
"2766",5377,9,7,7,9,3,5,6,9,2
"2767",5380,7,0,5,10,2,2,10,5,3
"2768",5381,10,0,0,10,0,0,10,10,2
"2769",5382,6,10,8,10,8,7,8,8,2
"2770",5383,10,5,10,10,0,2,10,10,2
"2771",5386,10,0,10,10,8,5,10,10,1
"2772",5387,7,10,10,10,10,0,10,10,1
"2773",5389,10,5,9,10,5,2,10,10,1
"2774",5391,9,8,8,10,10,1,10,10,2
"2775",5393,10,0,10,10,0,10,10,10,5
"2776",5396,7,9,8,10,4,5,6,10,4
"2777",5398,7,5,9,9,5,7,5,10,2
"2778",5404,8,4,10,10,10,2,10,10,3
"2779",5407,8,8,9,9,0,0,10,10,2
"2780",5408,5,9,9,10,10,9,9,9,6
"2781",5410,10,6,9,10,9,3,8,10,1
"2782",5411,6,6,10,10,0,5,10,10,4
"2783",5412,8,2,8,10,3,7,8,8,3
"2784",5413,10,3,10,10,5,0,10,10,2
"2785",5414,10,5,10,10,5,4,10,10,1
"2786",5417,7,9,8,10,7,6,8,8,2
"2787",5418,8,4,8,8,4,5,8,8,4
"2788",5419,10,7,10,10,0,0,10,10,2
"2789",5420,7,10,8,10,4,2,8,8,5
"2790",5421,7,5,8,10,5,5,7,10,1
"2791",5422,7,7,6,9,9,5,8,8,1
"2792",5425,10,7,10,10,7,5,10,10,1
"2793",5427,7,5,8,10,10,2,8,8,2
"2794",5431,8,6,8,10,9,7,10,10,3
"2795",5432,7,7,10,10,0,7,7,10,2
"2796",5433,7,3,10,10,8,2,4,10,1
"2797",5434,8,4,8,7,10,6,8,8,2
"2798",5435,5,5,6,6,1,4,5,8,5
"2799",5437,8,6,7,9,3,10,10,5,4
"2800",5438,10,6,8,6,8,0,7,7,2
"2801",5439,8,8,8,8,4,7,6,9,3
"2802",5442,10,8,10,10,0,2,9,10,3
"2803",5443,10,2,10,10,1,1,10,10,4
"2804",5445,10,10,10,10,10,10,10,10,2
"2805",5446,8,5,8,9,1,3,9,8,6
"2806",5448,10,3,10,10,3,0,10,10,1
"2807",5449,10,3,9,10,5,6,9,9,4
"2808",5450,8,10,10,10,10,4,5,10,2
"2809",5452,9,5,9,9,2,2,9,9,3
"2810",5454,10,1,7,10,10,3,8,10,1
"2811",5455,10,3,10,8,10,6,10,10,1
"2812",5456,9,10,7,10,10,9,10,10,3
"2813",5458,10,10,10,10,8,8,8,10,2
"2814",5459,8,7,8,10,7,4,7,10,4
"2815",5462,8,8,8,8,3,5,7,10,1
"2816",5464,8,7,8,10,0,0,8,9,2
"2817",5465,8,2,8,9,2,2,8,8,6
"2818",5468,9,4,8,10,2,3,6,10,3
"2819",5469,1,1,1,1,1,1,1,1,2
"2820",5471,6,6,7,6,4,7,5,6,2
"2821",5473,10,10,10,10,10,8,9,9,2
"2822",5474,9,0,9,9,0,0,5,8,5
"2823",5479,8,6,8,10,3,0,6,8,5
"2824",5480,10,10,8,9,10,7,10,10,2
"2825",5483,7,7,6,9,10,8,7,9,4
"2826",5484,9,2,10,10,4,3,10,10,6
"2827",5485,10,10,10,10,0,8,10,10,3
"2828",5486,10,0,10,10,0,2,9,10,1
"2829",5487,10,0,5,8,0,5,10,10,2
"2830",5489,10,3,7,9,2,2,8,8,1
"2831",5492,10,8,10,10,3,2,8,8,1
"2832",5495,10,10,10,10,5,2,10,10,5
"2833",5498,9,7,9,9,0,4,8,8,2
"2834",5499,2,8,6,9,5,4,6,9,3
"2835",5501,10,10,10,10,5,6,10,10,2
"2836",5502,10,10,10,10,9,5,10,10,3
"2837",5505,7,10,5,10,10,10,10,10,1
"2838",5511,8,5,8,9,0,3,8,8,2
"2839",5514,8,5,8,10,4,4,8,10,3
"2840",5515,10,0,9,9,0,0,9,9,1
"2841",5518,8,9,7,8,10,7,7,8,2
"2842",5520,8,10,5,10,10,2,5,6,2
"2843",5524,9,3,9,10,2,2,10,10,3
"2844",5525,10,3,10,10,3,5,8,10,3
"2845",5526,6,5,8,8,6,4,5,7,2
"2846",5527,8,5,6,9,5,7,3,8,3
"2847",5531,7,5,9,10,2,5,5,8,3
"2848",5533,9,1,10,10,0,1,10,10,1
"2849",5534,8,5,3,9,9,8,5,8,4
"2850",5536,10,3,10,10,0,2,10,10,2
"2851",5537,9,6,9,10,0,0,8,8,2
"2852",5539,9,5,8,9,7,6,8,10,2
"2853",5541,8,3,9,10,5,2,8,8,2
"2854",5548,8,10,9,10,9,9,9,9,3
"2855",5549,7,10,9,9,2,3,8,8,3
"2856",5554,10,6,10,10,5,6,10,10,2
"2857",5555,10,8,10,10,10,10,7,8,3
"2858",5558,10,0,10,10,0,0,10,10,4
"2859",5559,10,0,9,10,2,0,10,10,6
"2860",5560,10,9,10,10,10,10,10,10,2
"2861",5563,3,4,9,8,10,10,9,5,5
"2862",5564,10,7,10,10,5,0,10,10,2
"2863",5565,7,10,9,10,10,8,5,7,3
"2864",5566,8,5,8,9,5,2,5,10,2
"2865",5570,10,1,8,10,1,2,10,10,3
"2866",5573,10,1,10,10,0,10,10,10,1
"2867",5577,9,5,7,10,4,7,9,9,3
"2868",5579,10,7,9,10,3,3,9,9,3
"2869",5585,6,8,6,10,7,10,6,10,3
"2870",5588,9,5,8,9,6,4,9,9,5
"2871",5591,8,8,8,8,8,5,10,10,1
"2872",5592,6,6,10,10,10,10,10,10,2
"2873",5595,5,3,8,8,10,5,8,8,6
"2874",5596,8,8,10,10,10,7,10,10,2
"2875",5601,7,6,10,9,7,7,10,10,3
"2876",5602,6,3,8,8,8,3,8,8,4
"2877",5607,10,3,10,10,8,2,10,10,1
"2878",5608,5,5,0,10,5,5,5,5,3
"2879",5609,8,5,3,8,4,5,8,10,2
"2880",5610,9,5,8,10,10,4,10,10,4
"2881",5612,7,5,8,9,2,2,10,10,1
"2882",5616,6,8,7,10,10,10,2,10,1
"2883",5620,9,8,10,8,6,1,9,10,1
"2884",5621,8,3,8,10,2,2,9,10,2
"2885",5623,10,0,10,10,0,0,10,10,1
"2886",5624,9,3,4,9,1,8,9,8,4
"2887",5626,7,0,10,10,5,0,7,5,2
"2888",5627,8,8,7,8,9,6,7,7,6
"2889",5629,9,5,10,10,5,0,10,10,1
"2890",5631,5,5,7,8,1,5,6,9,2
"2891",5632,9,10,10,10,10,8,8,10,2
"2892",5633,6,5,9,9,0,0,9,7,5
"2893",5634,10,8,8,10,7,4,8,10,3
"2894",5635,10,6,10,10,0,5,10,10,3
"2895",5636,10,10,8,10,10,0,7,10,3
"2896",5637,8,1,9,10,5,1,10,6,2
"2897",5639,8,7,5,8,10,7,6,7,4
"2898",5640,8,5,8,8,2,2,5,8,1
"2899",5641,10,10,10,10,0,3,10,10,2
"2900",5642,10,0,8,10,7,8,10,10,2
"2901",5643,10,10,9,10,5,8,10,9,2
"2902",5644,10,2,10,10,9,0,10,10,1
"2903",5645,9,2,10,10,0,7,10,10,2
"2904",5646,8,6,10,10,5,7,10,10,2
"2905",5648,8,7,9,10,5,6,8,10,1
"2906",5649,10,5,5,10,10,5,5,10,6
"2907",5651,5,5,5,6,5,5,5,6,2
"2908",5652,9,6,10,10,4,7,10,10,3
"2909",5653,8,6,8,10,10,6,7,10,3
"2910",5655,9,1,10,10,2,0,10,10,3
"2911",5657,8,5,8,9,3,2,5,7,3
"2912",5658,9,2,9,9,7,2,8,9,4
"2913",5659,8,7,8,8,2,5,7,8,2
"2914",5660,0,0,10,10,10,2,8,8,3
"2915",5661,10,10,10,10,10,10,8,10,4
"2916",5662,8,8,8,8,8,8,8,8,4
"2917",5665,8,5,4,9,6,5,7,6,2
"2918",5666,9,7,9,6,4,7,8,8,2
"2919",5667,7,6,9,10,4,6,8,7,6
"2920",5669,10,5,10,8,2,2,8,10,1
"2921",5670,10,4,8,10,1,2,6,10,4
"2922",5671,9,3,9,10,5,3,8,10,4
"2923",5673,9,2,9,10,3,2,10,10,2
"2924",5674,8,6,6,8,10,8,7,8,3
"2925",5676,10,4,10,10,0,8,10,10,2
"2926",5677,10,1,10,10,0,0,10,10,2
"2927",5679,10,5,10,10,10,10,10,10,1
"2928",5684,9,5,9,9,8,5,8,9,2
"2929",5685,6,10,10,10,10,0,10,7,2
"2930",5686,7,7,10,8,1,1,10,8,2
"2931",5690,6,5,10,8,1,8,4,9,1
"2932",5692,9,3,10,10,0,1,9,10,2
"2933",5693,7,10,10,7,10,10,5,7,4
"2934",5694,10,0,10,10,0,0,10,10,1
"2935",5695,8,3,10,10,3,0,10,10,4
"2936",5696,7,5,7,8,8,6,7,5,3
"2937",5699,3,10,10,7,10,10,5,3,1
"2938",5702,8,5,7,9,4,8,8,10,4
"2939",5705,10,6,9,10,5,6,9,9,2
"2940",5706,10,2,10,10,2,5,7,10,1
"2941",5709,9,2,10,10,3,2,10,8,6
"2942",5710,10,10,6,10,10,8,10,10,5
"2943",5712,9,2,9,10,2,3,8,9,3
"2944",5714,10,0,10,10,8,8,10,10,2
"2945",5715,8,3,8,9,2,3,8,8,3
"2946",5717,10,10,10,10,10,8,10,10,1
"2947",5718,8,8,10,10,10,4,8,9,3
"2948",5720,10,7,9,10,3,3,9,10,3
"2949",5721,10,2,8,10,2,4,8,8,6
"2950",5722,9,7,10,10,2,5,9,10,6
"2951",5723,8,10,9,9,7,7,8,9,2
"2952",5724,5,2,5,9,9,3,7,8,2
"2953",5725,8,5,5,10,2,5,10,10,4
"2954",5729,10,7,10,10,7,7,7,10,6
"2955",5730,9,2,9,9,0,2,9,8,3
"2956",5731,10,10,10,10,10,10,10,10,4
"2957",5732,2,10,8,10,10,7,7,8,3
"2958",5733,8,1,10,10,5,5,10,10,3
"2959",5735,8,5,7,10,5,5,7,8,3
"2960",5736,9,7,8,10,5,5,8,8,2
"2961",5737,10,10,10,10,10,8,8,10,2
"2962",5739,10,10,10,10,10,7,6,8,2
"2963",5743,8,8,9,8,6,7,4,10,1
"2964",5745,7,5,8,8,5,6,4,8,4
"2965",5746,5,5,5,5,8,8,5,5,2
"2966",5747,10,5,2,10,10,0,10,10,1
"2967",5748,7,7,7,7,5,4,8,10,4
"2968",5750,8,0,10,10,0,2,10,10,6
"2969",5752,10,10,10,10,0,0,10,10,3
"2970",5755,9,8,10,10,4,8,9,10,4
"2971",5756,7,3,8,10,4,6,6,5,6
"2972",5757,8,9,9,9,9,8,9,9,1
"2973",5759,8,10,5,10,10,7,8,8,6
"2974",5760,7,2,10,10,0,5,5,8,3
"2975",5761,7,8,3,9,8,5,7,6,3
"2976",5762,9,3,9,10,1,2,10,9,3
"2977",5763,8,7,8,8,0,8,6,8,4
"2978",5765,5,10,8,2,10,10,0,9,1
"2979",5767,8,10,10,10,10,0,10,10,1
"2980",5770,8,2,7,10,1,2,8,9,5
"2981",5771,10,2,10,10,1,3,10,10,6
"2982",5775,6,7,9,10,1,4,8,8,3
"2983",5776,8,8,8,8,9,9,10,9,2
"2984",5777,8,5,8,10,4,4,8,8,2
"2985",5780,8,7,9,9,0,0,9,7,1
"2986",5781,9,8,10,8,2,1,8,10,1
"2987",5782,8,10,10,10,5,8,10,10,2
"2988",5783,8,4,9,9,5,3,5,6,2
"2989",5785,8,10,9,10,10,5,7,10,2
"2990",5788,9,4,8,10,7,4,6,8,4
"2991",5791,8,7,8,7,8,7,6,7,2
"2992",5795,8,7,10,10,0,1,10,10,2
"2993",5797,10,10,10,10,4,4,10,10,3
"2994",5798,10,5,10,10,4,3,10,10,3
"2995",5799,9,5,4,8,5,7,7,10,1
"2996",5800,8,3,8,10,8,5,9,9,2
"2997",5801,5,5,10,8,7,5,5,10,2
"2998",5802,10,8,8,10,5,5,8,10,1
"2999",5803,8,7,8,10,2,2,6,10,3
"3000",5804,8,10,9,8,10,6,7,7,1
"3001",5805,10,10,10,10,10,5,10,10,2
"3002",5808,8,2,6,10,1,1,10,10,1
"3003",5810,9,2,8,10,5,3,9,9,4
"3004",5813,8,7,7,7,9,5,7,9,1
"3005",5814,9,5,10,10,2,2,9,9,3
"3006",5815,8,5,5,10,5,3,7,10,3
"3007",5817,10,2,9,10,7,5,9,10,4
"3008",5818,9,9,10,10,10,9,9,9,2
"3009",5823,10,8,10,10,10,10,10,10,3
"3010",5825,10,5,10,10,5,6,8,10,4
"3011",5827,8,10,10,10,5,8,8,10,2
"3012",5828,8,2,8,8,0,0,8,8,2
"3013",5829,9,10,8,10,7,5,10,10,2
"3014",5833,8,0,10,10,0,0,9,10,2
"3015",5834,8,2,10,10,0,8,8,8,2
"3016",5836,8,8,8,9,7,5,8,9,4
"3017",5839,5,5,7,8,10,6,7,8,4
"3018",5840,8,6,9,9,5,5,8,9,2
"3019",5841,5,5,5,7,9,5,5,5,2
"3020",5846,8,5,10,10,5,5,10,9,4
"3021",5847,7,3,7,10,4,6,9,10,4
"3022",5848,10,6,5,9,1,7,9,10,1
"3023",5849,8,8,10,10,8,8,10,10,2
"3024",5852,9,8,9,10,5,6,9,9,1
"3025",5853,9,9,10,10,3,6,7,10,5
"3026",5855,6,0,8,10,0,0,8,5,5
"3027",5857,10,10,10,10,8,10,10,10,2
"3028",5859,8,8,8,9,3,5,8,8,3
"3029",5862,9,5,9,9,5,1,10,10,2
"3030",5863,5,10,5,8,10,5,7,10,3
"3031",5864,9,0,10,10,0,0,5,10,3
"3032",5869,6,7,8,8,10,4,8,3,2
"3033",5870,8,2,7,10,6,2,10,10,2
"3034",5873,5,4,7,8,10,8,7,4,3
"3035",5874,10,0,10,10,0,10,10,10,2
"3036",5875,5,10,10,10,10,10,6,10,3
"3037",5876,10,3,8,10,0,2,10,10,2
"3038",5878,10,10,8,8,0,10,10,10,3
"3039",5879,9,2,8,10,2,6,8,8,1
"3040",5880,8,5,7,9,0,5,8,10,4
"3041",5882,7,7,6,7,5,5,7,7,2
"3042",5883,5,5,5,8,5,6,8,6,6
"3043",5884,10,0,10,10,10,10,10,10,3
"3044",5886,10,0,10,10,0,3,10,10,3
"3045",5889,9,5,8,10,2,2,10,10,3
"3046",5890,9,0,7,10,0,0,9,9,3
"3047",5892,9,4,10,10,10,4,4,7,5
"3048",5897,7,8,6,7,5,6,8,8,4
"3049",5899,9,8,7,10,5,4,10,10,1
"3050",5901,4,4,10,10,8,5,0,5,6
"3051",5902,2,9,10,10,10,10,10,10,2
"3052",5903,8,8,10,10,0,8,10,10,2
"3053",5905,9,6,6,9,4,5,9,9,2
"3054",5908,6,5,8,7,6,4,8,7,3
"3055",5909,9,2,7,10,1,2,8,8,1
"3056",5911,7,10,0,5,10,6,0,5,1
"3057",5912,8,6,8,9,10,9,8,10,3
"3058",5913,10,10,10,10,8,4,10,10,2
"3059",5914,8,5,8,10,8,3,7,8,2
"3060",5915,8,5,7,8,6,5,0,5,4
"3061",5916,9,3,10,9,10,3,9,8,4
"3062",5917,10,8,10,10,0,7,10,10,2
"3063",5918,6,4,8,8,2,5,7,10,2
"3064",5919,10,8,9,10,0,0,10,10,1
"3065",5920,7,6,7,8,5,0,6,8,2
"3066",5921,10,5,10,10,5,5,10,10,3
"3067",5931,5,5,5,8,5,4,5,5,2
"3068",5932,10,0,10,10,0,0,10,10,6
"3069",5933,5,7,5,7,4,5,8,5,3
"3070",5934,10,3,9,10,0,0,9,9,2
"3071",5936,8,5,6,7,10,7,7,9,2
"3072",5938,9,7,8,8,5,8,8,10,1
"3073",5939,5,4,5,8,10,4,7,10,2
"3074",5941,10,2,8,10,0,0,8,10,3
"3075",5942,10,0,8,10,8,0,8,10,4
"3076",5944,8,10,8,8,10,8,7,10,1
"3077",5945,7,0,8,10,0,4,5,5,3
"3078",5947,8,3,9,9,4,3,7,9,1
"3079",5948,7,10,6,7,10,10,10,10,2
"3080",5950,10,5,10,9,4,5,9,9,1
"3081",5951,10,8,10,10,2,7,10,10,2
"3082",5952,9,7,9,9,5,5,9,9,4
"3083",5953,7,5,8,9,4,4,3,6,2
"3084",5954,6,5,8,10,10,2,8,8,5
"3085",5955,10,10,9,10,3,8,8,10,4
"3086",5956,10,1,10,10,0,1,10,10,2
"3087",5957,9,10,4,10,5,4,10,10,1
"3088",5958,9,5,8,10,0,5,9,10,1
"3089",5959,10,2,10,10,3,2,10,10,4
"3090",5960,10,0,10,10,8,5,10,10,4
"3091",5961,7,6,5,7,4,5,6,8,1
"3092",5966,10,8,10,10,7,3,9,10,3
"3093",5967,9,1,10,10,1,2,9,10,4
"3094",5969,10,10,10,10,0,0,10,10,1
"3095",5973,8,7,7,6,5,8,8,10,2
"3096",5977,6,6,7,7,6,10,7,3,3
"3097",5979,9,2,10,10,0,6,8,10,2
"3098",5980,7,5,9,8,10,7,10,5,2
"3099",5981,5,8,5,9,10,7,6,5,6
"3100",5984,10,10,10,10,5,8,8,10,1
"3101",5985,10,0,10,10,5,7,10,10,1
"3102",5986,9,0,10,10,0,0,9,9,1
"3103",5989,7,8,8,7,6,6,6,8,3
"3104",5994,9,5,8,9,0,4,9,9,1
"3105",5999,10,7,7,10,7,6,10,10,1
"3106",6002,10,0,10,10,8,0,10,10,1
"3107",6003,5,5,5,8,3,5,7,7,2
"3108",6005,9,9,9,9,0,0,9,9,3
"3109",6007,10,1,10,10,1,1,10,10,2
"3110",6008,9,3,10,10,0,1,9,10,3
"3111",6009,10,10,7,8,10,10,6,9,1
"3112",6013,10,5,6,7,7,7,6,10,1
"3113",6018,8,6,10,10,10,3,9,9,2
"3114",6019,6,8,8,10,8,3,7,10,2
"3115",6021,5,7,5,10,7,5,5,8,2
"3116",6023,8,6,8,10,9,8,5,10,2
"3117",6024,10,5,10,10,0,0,7,10,1
"3118",6025,9,3,9,10,0,2,10,10,6
"3119",6030,7,10,10,7,3,1,5,10,1
"3120",6031,8,8,8,8,1,2,9,9,2
"3121",6032,9,10,9,10,10,8,7,7,3
"3122",6033,7,9,8,10,10,10,5,8,4
"3123",6037,10,3,10,8,5,2,4,10,1
"3124",6040,7,7,10,10,10,0,8,7,3
"3125",6041,8,8,8,8,3,6,7,10,2
"3126",6044,7,8,8,8,10,2,7,10,1
"3127",6045,10,0,9,10,0,0,9,10,5
"3128",6047,6,9,8,5,9,6,8,7,5
"3129",6048,10,10,10,10,10,8,10,10,1
"3130",6049,10,6,9,10,3,5,7,10,3
"3131",6050,10,5,8,9,10,3,8,10,1
"3132",6052,10,0,10,10,0,0,10,10,3
"3133",6053,9,10,10,10,7,7,10,10,2
"3134",6054,10,0,10,10,0,0,10,10,1
"3135",6055,8,3,8,10,4,3,7,8,2
"3136",6061,10,2,10,10,10,0,6,10,6
"3137",6062,10,0,10,10,3,0,10,10,1
"3138",6063,8,9,10,10,7,8,9,10,1
"3139",6064,10,3,9,10,3,3,9,9,6
"3140",6066,8,8,10,10,10,7,10,10,3
"3141",6067,7,8,8,8,9,6,8,7,2
"3142",6068,8,5,10,10,2,1,8,10,2
"3143",6069,10,8,10,10,10,4,3,10,4
"3144",6070,5,7,4,8,7,5,5,6,2
"3145",6073,8,8,10,10,8,8,8,8,4
"3146",6074,8,4,8,10,4,5,8,8,1
"3147",6076,8,8,8,8,5,7,7,8,3
"3148",6077,8,5,10,10,6,3,6,9,3
"3149",6078,10,3,10,10,7,5,10,10,2
"3150",6080,9,3,5,9,4,5,7,7,2
"3151",6081,10,7,9,10,4,7,9,10,3
"3152",6084,10,10,10,10,10,5,10,10,1
"3153",6087,3,10,10,10,10,8,10,10,3
"3154",6088,10,5,10,10,0,0,7,10,1
"3155",6090,8,8,8,8,8,8,8,8,4
"3156",6091,7,6,4,6,10,3,7,9,2
"3157",6093,9,7,9,10,5,9,10,10,6
"3158",6095,10,10,10,8,0,10,10,10,5
"3159",6096,8,5,5,8,8,5,5,5,3
"3160",6098,7,5,7,10,10,5,10,10,4
"3161",6099,8,3,9,10,6,6,6,10,6
"3162",6103,10,10,8,10,10,5,10,10,5
"3163",6106,5,5,4,3,10,5,2,6,3
"3164",6107,10,10,10,10,2,10,10,10,2
"3165",6108,8,6,10,10,0,6,9,10,4
"3166",6109,8,1,8,10,0,1,10,10,2
"3167",6110,9,4,9,10,3,7,9,9,5
"3168",6111,10,10,10,10,0,0,10,10,3
"3169",6112,5,5,6,10,6,5,8,10,1
"3170",6113,9,3,9,9,0,0,8,10,1
"3171",6116,7,5,8,9,3,4,7,7,1
"3172",6117,8,10,7,10,10,8,10,10,3
"3173",6120,7,10,0,0,10,10,0,9,4
"3174",6123,8,2,8,9,10,5,9,10,3
"3175",6128,8,5,8,8,2,2,8,8,2
"3176",6130,8,3,8,9,10,3,9,10,3
"3177",6131,8,10,8,10,10,7,6,8,3
"3178",6133,9,5,9,9,5,6,9,9,4
"3179",6136,9,7,10,10,10,7,10,10,5
"3180",6137,8,5,8,10,2,2,5,10,2
"3181",6139,6,7,7,1,3,1,8,5,2
"3182",6140,10,10,7,10,2,4,5,10,1
"3183",6141,5,9,7,10,5,5,9,5,1
"3184",6142,9,4,9,9,3,5,6,9,2
"3185",6144,6,5,10,8,10,4,4,5,6
"3186",6145,10,3,10,10,0,1,10,10,2
"3187",6149,8,8,5,9,7,7,10,10,4
"3188",6152,9,5,10,10,7,5,8,9,2
"3189",6153,9,5,8,9,6,3,8,8,4
"3190",6155,5,5,10,10,4,8,7,10,3
"3191",6157,6,3,7,7,7,6,3,7,1
"3192",6165,10,1,1,10,1,1,10,10,1
"3193",6166,10,4,10,10,7,3,7,10,4
"3194",6167,9,6,10,10,0,0,10,10,3
"3195",6171,9,7,9,8,0,5,7,10,2
"3196",6173,10,0,10,10,10,10,10,10,3
"3197",6174,10,2,8,10,4,7,7,10,4
"3198",6177,7,5,10,8,0,3,7,9,3
"3199",6178,10,6,10,10,10,7,7,10,3
"3200",6179,9,2,9,10,4,6,8,7,6
"3201",6181,8,1,9,9,2,2,9,10,5
"3202",6184,7,9,6,9,3,5,5,7,4
"3203",6186,10,3,8,10,3,3,8,8,5
"3204",6187,7,4,7,8,3,6,4,10,1
"3205",6188,10,7,10,10,5,3,7,10,1
"3206",6189,10,0,10,10,0,0,10,10,2
"3207",6190,10,7,10,10,3,0,7,8,4
"3208",6192,8,4,8,10,9,3,9,10,3
"3209",6194,10,9,9,10,2,3,8,10,1
"3210",6195,8,8,10,10,2,5,10,10,4
"3211",6196,10,10,8,5,10,10,10,10,4
"3212",6197,9,6,10,10,2,3,10,10,4
"3213",6198,9,0,9,10,2,1,9,9,3
"3214",6200,8,5,7,8,7,9,8,9,1
"3215",6201,10,3,10,10,5,5,9,9,4
"3216",6203,8,5,8,10,8,7,3,7,4
"3217",6204,10,7,10,10,0,5,10,10,1
"3218",6206,8,7,10,10,8,8,9,10,2
"3219",6208,10,10,10,10,10,5,5,10,2
"3220",6212,10,2,10,10,2,2,10,10,4
"3221",6213,9,2,9,9,1,2,8,9,4
"3222",6214,9,2,10,10,2,1,9,10,2
"3223",6215,8,5,7,10,4,4,8,10,4
"3224",6216,10,3,9,10,6,1,8,10,2
"3225",6217,8,5,8,7,0,8,8,9,5
"3226",6220,9,7,7,8,5,4,7,10,2
"3227",6222,10,7,5,10,4,8,8,10,2
"3228",6223,10,2,9,10,0,0,6,10,1
"3229",6224,10,9,10,10,5,8,8,10,2
"3230",6225,9,10,10,10,10,5,8,10,6
"3231",6227,8,6,8,10,10,8,9,9,4
"3232",6228,10,7,10,10,2,0,10,10,2
"3233",6229,8,4,6,8,2,3,7,8,5
"3234",6234,8,8,8,9,6,4,5,4,3
"3235",6235,8,8,10,10,10,5,10,10,3
"3236",6236,10,0,10,10,10,0,10,10,3
"3237",6239,8,10,4,8,9,9,10,10,3
"3238",6240,9,8,8,10,10,4,8,8,3
"3239",6241,10,6,10,10,1,8,10,10,6
"3240",6243,8,6,9,10,10,4,7,10,3
"3241",6244,5,5,8,9,5,7,5,2,4
"3242",6246,8,10,6,10,5,9,7,9,4
"3243",6248,10,4,10,10,6,0,10,10,3
"3244",6250,10,5,8,8,3,5,10,10,2
"3245",6251,9,5,10,9,5,5,8,10,3
"3246",6254,10,8,8,10,10,8,8,7,3
"3247",6257,10,10,3,8,10,8,5,9,3
"3248",6259,8,6,8,10,6,5,9,9,1
"3249",6265,10,10,9,10,5,6,8,10,3
"3250",6268,6,6,8,9,6,4,6,10,3
"3251",6272,7,5,8,8,6,0,8,8,2
"3252",6275,10,8,10,10,10,6,8,10,5
"3253",6276,7,7,10,9,2,0,10,10,2
"3254",6279,9,6,9,10,5,8,10,10,3
"3255",6284,8,8,9,10,1,2,8,9,4
"3256",6285,10,4,10,10,8,2,10,10,2
"3257",6286,8,2,7,9,5,1,9,10,2
"3258",6287,8,10,7,6,3,6,10,7,2
"3259",6289,9,2,9,10,3,3,9,9,2
"3260",6290,8,5,8,8,2,4,8,8,2
"3261",6292,10,10,10,10,0,3,10,10,2
"3262",6294,9,9,9,9,3,5,7,9,1
"3263",6295,9,1,10,10,4,5,10,10,1
"3264",6297,10,2,9,10,6,1,10,10,6
"3265",6298,7,4,8,8,6,7,7,5,5
"3266",6299,10,10,10,10,10,0,10,10,1
"3267",6300,8,0,10,10,0,1,10,10,2
"3268",6302,6,5,9,9,4,4,7,9,1
"3269",6303,8,8,8,8,10,7,10,10,2
"3270",6304,9,5,10,9,5,3,8,7,1
"3271",6305,8,6,8,9,10,6,7,9,2
